Name,Quantity,Component
"U1",1," Arduino Uno R3"
"U2",1," Temperature Sensor [TMP36]"
"SERVO1",1," Micro Servo"
"R1",1,"1 kΩ Resistor"
"D1",1,"Red LED"
"Rpot1",1,"250 kΩ Potentiometer"
"S1",1," Slideswitch"
