Name,Quantity,Component
"U1",1," Arduino Uno R3"
"U2",1," LCD 16 x 2 "
"Rpot1",1,"250 kΩ Potentiometer"
"U3",1," Temperature Sensor [TMP36]"
"R1",1,"1 kΩ Resistor"
